title,institution,location,logo,period
Master's in Technology in Software Systems (Security Specialization),Birla Institute of Technology And Science. (BITS-WILP),"Hyderabad, Telangana, India",https://upload.wikimedia.org/wikipedia/en/thumb/d/d3/BITS_Pilani-Logo.svg/1920px-BITS_Pilani-Logo.svg.png,2024 - 2026(Tentative)
Bachelor's Of Technology in Computer Science,Jawaharlal Nehru Technological University. Hyderabad,"Hyderabad, Telangana, India",https://upload.wikimedia.org/wikipedia/en/e/ea/JNTU_Hyderabad_logo.png,2007 - 2011
